component,explained_variance_ratio,cumulative_explained_variance
PC198,3.5416303891496664e-05,0.9922981942050806
PC199,3.510718411834503e-05,0.992333301389199
PC200,3.4772934461875404e-05,0.9923680743236608
PC201,3.4711706187748815e-05,0.9924027860298485
PC202,3.443715544184462e-05,0.9924372231852904
PC203,3.417706513059984e-05,0.992471400250421
PC204,3.398241539676546e-05,0.9925053826658178
PC205,3.3845652608214267e-05,0.992539228318426
PC206,3.343544535132331e-05,0.9925726637637773
PC207,3.3119487901275756e-05,0.9926057832516786
PC208,3.305867210362041e-05,0.9926388419237822
PC209,3.283949431536537e-05,0.9926716814180975
PC210,3.226422978664678e-05,0.9927039456478841
PC211,3.1915105756097424e-05,0.9927358607536402
PC212,3.181699417802796e-05,0.9927676777478182
PC213,3.136934304847771e-05,0.9927990470908666
PC214,3.112462227316741e-05,0.9928301717131398
PC215,3.0845102295241844e-05,0.992861016815435
PC216,3.072387789008002e-05,0.9928917406933251
PC217,3.031769822300624e-05,0.9929220583915481
PC218,3.0293300840272537e-05,0.9929523516923884
PC219,3.0145355481621946e-05,0.99298249704787
PC220,2.9750563006991496e-05,0.993012247610877
PC221,2.9528908542059242e-05,0.993041776519419
PC222,2.9245853454968263e-05,0.993071022372874
PC223,2.9188726368275436e-05,0.9931002110992423
PC224,2.8763806857780844e-05,0.9931289749061001
PC225,2.8271532503258144e-05,0.9931572464386034
PC226,2.776627862934483e-05,0.9931850127172327
PC227,2.7499395961883357e-05,0.9932125121131946
PC228,2.7332291657413317e-05,0.993239844404852
PC229,2.6766916026328698e-05,0.9932666113208783
PC230,2.6696943930965943e-05,0.9932933082648093
PC231,2.6222451539995682e-05,0.9933195307163494
PC232,2.5919576393284983e-05,0.9933454502927427
PC233,2.558975027100231e-05,0.9933710400430137
PC234,2.5345587775333185e-05,0.993396385630789
PC235,2.494281367017608e-05,0.9934213284444592
PC236,2.4705931863982214e-05,0.9934460343763232
PC237,2.4703323294609793e-05,0.9934707376996178
PC238,2.4703323294609762e-05,0.9934954410229124
PC239,2.470332329460971e-05,0.9935201443462071
PC240,2.4703323294609708e-05,0.9935448476695017
PC241,2.4703323294609708e-05,0.9935695509927963
PC242,2.4703323294609698e-05,0.9935942543160909
PC243,2.4703323294609698e-05,0.9936189576393856
PC244,2.4703323294609698e-05,0.9936436609626802
PC245,2.4703323294609698e-05,0.9936683642859748
PC246,2.4703323294609698e-05,0.9936930676092695
PC247,2.4703323294609698e-05,0.9937177709325641
PC248,2.4703323294609698e-05,0.9937424742558587
PC249,2.4703323294609698e-05,0.9937671775791533
PC250,2.4703323294609695e-05,0.993791880902448
PC251,2.470332329460968e-05,0.9938165842257426
PC252,2.470332329460968e-05,0.9938412875490372
PC253,2.470332329460968e-05,0.9938659908723319
PC254,2.470332329460968e-05,0.9938906941956265
PC255,2.470332329460968e-05,0.9939153975189211
PC256,2.470332329460968e-05,0.9939401008422157
PC257,2.470332329460968e-05,0.9939648041655104
PC258,2.470332329460968e-05,0.993989507488805
PC259,2.470332329460968e-05,0.9940142108120996
PC260,2.470332329460968e-05,0.9940389141353942
PC261,2.470332329460968e-05,0.9940636174586889
PC262,2.470332329460968e-05,0.9940883207819835
PC263,2.470332329460968e-05,0.9941130241052781
PC264,2.4703323294609678e-05,0.9941377274285728
PC265,2.4703323294609678e-05,0.9941624307518674
PC266,2.4703323294609678e-05,0.994187134075162
PC267,2.4703323294609678e-05,0.9942118373984566
PC268,2.4703323294609678e-05,0.9942365407217513
PC269,2.4703323294609678e-05,0.9942612440450459
PC270,2.4703323294609678e-05,0.9942859473683405
PC271,2.4703323294609678e-05,0.9943106506916352
PC272,2.4703323294609678e-05,0.9943353540149298
PC273,2.4703323294609678e-05,0.9943600573382244
PC274,2.4703323294609678e-05,0.994384760661519
PC275,2.4703323294609678e-05,0.9944094639848137
PC276,2.4703323294609678e-05,0.9944341673081083
PC277,2.4703323294609678e-05,0.9944588706314029
PC278,2.4703323294609678e-05,0.9944835739546976
PC279,2.4703323294609678e-05,0.9945082772779922
PC280,2.4703323294609678e-05,0.9945329806012868
PC281,2.4703323294609678e-05,0.9945576839245814
PC282,2.4703323294609678e-05,0.9945823872478761
PC283,2.4703323294609678e-05,0.9946070905711707
PC284,2.4703323294609678e-05,0.9946317938944653
PC285,2.4703323294609678e-05,0.99465649721776
PC286,2.4703323294609678e-05,0.9946812005410546
PC287,2.4703323294609678e-05,0.9947059038643492
PC288,2.4703323294609678e-05,0.9947306071876438
PC289,2.4703323294609678e-05,0.9947553105109385
PC290,2.470332329460967e-05,0.9947800138342331
PC291,2.470332329460967e-05,0.9948047171575277
PC292,2.4703323294609657e-05,0.9948294204808223
PC293,2.4703323294609657e-05,0.994854123804117
PC294,2.4703323294609657e-05,0.9948788271274116
PC295,2.4703323294609657e-05,0.9949035304507062
PC296,2.4703323294609657e-05,0.9949282337740009
PC297,2.4703323294609657e-05,0.9949529370972955
PC298,2.4703323294609657e-05,0.9949776404205901
PC299,2.4703323294609657e-05,0.9950023437438847
PC300,2.4703323294609657e-05,0.9950270470671794
PC301,2.4703323294609657e-05,0.995051750390474
PC302,2.4703323294609657e-05,0.9950764537137686
PC303,2.4703323294609657e-05,0.9951011570370633
PC304,2.4703323294609657e-05,0.9951258603603579
PC305,2.4703323294609657e-05,0.9951505636836525
PC306,2.4703323294609657e-05,0.9951752670069471
PC307,2.4703323294609657e-05,0.9951999703302418
PC308,2.4703323294609657e-05,0.9952246736535364
PC309,2.4703323294609657e-05,0.995249376976831
PC310,2.4703323294609657e-05,0.9952740803001257
PC311,2.4703323294609657e-05,0.9952987836234203
PC312,2.4703323294609657e-05,0.9953234869467149
PC313,2.4703323294609657e-05,0.9953481902700095
PC314,2.4703323294609657e-05,0.9953728935933042
PC315,2.4703323294609657e-05,0.9953975969165988
PC316,2.4703323294609657e-05,0.9954223002398934
PC317,2.4703323294609657e-05,0.995447003563188
PC318,2.4703323294609657e-05,0.9954717068864827
PC319,2.4703323294609657e-05,0.9954964102097773
PC320,2.4703323294609657e-05,0.9955211135330719
PC321,2.4703323294609657e-05,0.9955458168563666
PC322,2.4703323294609657e-05,0.9955705201796612
PC323,2.4703323294609657e-05,0.9955952235029558
PC324,2.4703323294609657e-05,0.9956199268262504
PC325,2.4703323294609657e-05,0.9956446301495451
PC326,2.4703323294609657e-05,0.9956693334728397
PC327,2.4703323294609657e-05,0.9956940367961343
PC328,2.4703323294609657e-05,0.995718740119429
PC329,2.4703323294609657e-05,0.9957434434427236
PC330,2.4703323294609657e-05,0.9957681467660182
PC331,2.4703323294609657e-05,0.9957928500893128
PC332,2.4703323294609657e-05,0.9958175534126075
PC333,2.4703323294609657e-05,0.9958422567359021
PC334,2.4703323294609657e-05,0.9958669600591967
PC335,2.4703323294609657e-05,0.9958916633824914
PC336,2.4703323294609657e-05,0.995916366705786
PC337,2.4703323294609657e-05,0.9959410700290806
PC338,2.4703323294609657e-05,0.9959657733523752
PC339,2.4703323294609657e-05,0.9959904766756699
PC340,2.4703323294609657e-05,0.9960151799989645
PC341,2.4703323294609657e-05,0.9960398833222591
PC342,2.4703323294609657e-05,0.9960645866455538
PC343,2.4703323294609657e-05,0.9960892899688484
